Incident ID,Incident Date,State,City Or County,Address,Killed,Injured,Latitude,Longitude
3018252,07/09/2024,Pennsylvania,Ellwood City,183 Portersville Rd,1,4,40.858579,-80.2895502
3017295,06/09/2024,District of Columbia,Washington,900 block of Varney St SE,0,5,38.8950368,-77.0365427
3014703,04/09/2024,Georgia,Winder,940 Haymon Morris Rd,4,7,33.9919085,-83.7184368
3012631,02/09/2024,Illinois,Forest Park,711 Desplaines Ave,4,0,41.8794989,-87.8136997
3012888,02/09/2024,New York,Brooklyn,Eastern Pkwy and Classon Ave,1,4,40.6526006,-73.9497211
3013319,02/09/2024,Alabama,Bessemer,200 Fourth Ave N,0,4,33.4017766,-86.954437
3013744,02/09/2024,Washington,Federal Way,I-5 and S 320th St,0,5,47.313494,-122.33931
3020008,02/09/2024,New Jersey,Newark,500 block of Clinton Ave,0,4,40.735657,-74.1723667
3012738,02/09/2024,Tennessee,Antioch,825 Hamilton Crossings,0,6,36.0600602,-86.6722192
3012204,01/09/2024,Ohio,Dayton,1100 block of Gettysburg Ave,0,5,39.7589478,-84.1916069
3012525,01/09/2024,Ohio,Cleveland,14800 block of Lawndale Ave,0,4,41.4996574,-81.6936772
3012688,01/09/2024,Delaware,Milford,200 block of North St,0,4,38.9130453,-75.4278733
3011930,31/08/2024,Hawaii,Waianae,85-1300 Waianae Valley Rd,3,2,21.446678,-158.185272
3010531,30/08/2024,Minnesota,Burnsville,12100 River Hills Dr,0,5,44.7670567,-93.2773887
3011296,30/08/2024,Ohio,Euclid,Nicholas Ave and E 222nd St,1,4,41.5931049,-81.5267873
3009565,29/08/2024,Texas,Dallas,907 E Ledbetter Dr,1,3,32.7762719,-96.7968559
3009463,29/08/2024,California,Tulare,Martin Luther King Jr Ave and S St,0,4,36.2516475,-118.852583
3007365,27/08/2024,Pennsylvania,Philadelphia,G St and Allegheny Ave,0,4,39.9527237,-75.1635262
3005280,25/08/2024,New York,Syosset,76 Wyoming Ct,4,0,40.8262101,-73.502068
3005251,25/08/2024,Texas,Lubbock,9200 block of US-87 Frontage Rd,1,5,33.5855677,-101.8470215
3006116,25/08/2024,Georgia,Warner Robins,308 Shirley Dr,0,4,32.6200973,-83.606568
3005079,25/08/2024,Alabama,Mobile,Paper Mill Rd and Mckinley St,0,6,30.6913462,-88.0437509
3005802,25/08/2024,Pennsylvania,Allentown,112 N 7th St,0,6,40.6022059,-75.4712794
3005607,25/08/2024,South Dakota,Sioux Falls,1301 S Marion Rd,1,3,43.5476008,-96.7293629
3005100,24/08/2024,Georgia,Dalton,1800 Pleasant Grove Dr NE,4,0,34.7691867,-84.9702475
3005346,24/08/2024,Pennsylvania,Chester,Butler St and Concord Ave,1,3,39.9829308,-75.7652424
3003576,22/08/2024,Texas,Houston,2266 Collier St,0,4,29.7589382,-95.3676974
3002869,22/08/2024,Wisconsin,Milwaukee,4001 W North Ave,1,3,43.0386475,-87.9090751
3002622,21/08/2024,Pennsylvania,Philadelphia,4000 block of Lancaster Ave,0,4,39.9527237,-75.1635262
3001529,20/08/2024,Mississippi,Jackson,300 block of Maple St,0,6,32.2998686,-90.1830408
3001570,20/08/2024,Washington,Everett,805 W Casino Rd,0,4,47.9793437,-122.2127011
3000990,20/08/2024,Illinois,Chicago,51st St and Ashland Ave,1,5,41.8755616,-87.6244212
2998510,18/08/2024,Minnesota,Minneapolis,1200 block of W Broadway Ave,0,4,44.9772995,-93.2654692
2998845,18/08/2024,Maryland,Baltimore,1300 block of N Spring St,1,7,39.2908816,-76.610759
2998743,18/08/2024,Massachusetts,Boston,1 Franklin Park Rd,0,5,42.3554334,-71.060511
2999346,18/08/2024,Oklahoma,Oklahoma City,Oklahoma Ave and E Sheridan Ave,0,4,35.4729886,-97.5170536
2997932,17/08/2024,California,Oakland,1618 83rd Ave,2,2,37.8044557,-122.271356
2997679,17/08/2024,Mississippi,Jackson,208 W Capitol St,1,5,32.2998686,-90.1830408
2997856,16/08/2024,Tennessee,Memphis,2166 Central Ave,0,4,35.1460249,-90.0517638
2995981,14/08/2024,Colorado,Colorado Springs,332 Ellers Grove,1,3,38.8339578,-104.825348
2994803,14/08/2024,Virginia,Petersburg,200 block of Boisseau St,0,4,37.1924594,-77.3677408
2993727,13/08/2024,Massachusetts,Lawrence,91 Bennington St,1,3,42.7070354,-71.1631137
2992918,12/08/2024,Illinois,Chicago,750 S Clinton St,0,4,41.8755616,-87.6244212
2992225,11/08/2024,North Carolina,Sharpsburg,141 Weavers Cir,2,2,35.8671926,-77.8276196
2993537,10/08/2024,Ohio,Cleveland,4071 Lee Rd,0,4,41.4996574,-81.6936772
2992571,10/08/2024,Florida,Jacksonville,3100 N Main St,0,6,30.3321838,-81.655651
2992248,10/08/2024,Georgia,Atlanta,540 Windsor St SW,0,5,33.7489924,-84.3902644
2991694,09/08/2024,North Carolina,Charlotte,7837 Nations Ford Rd,0,4,35.2272086,-80.8430827
